#GAME Partita %d
#MAP Mappa %d
#BC %d aC
#AD %d dC
#SHARE %d/%d
#SHORTNAME #S
#OWNED %s #A
#GENCITY #S %d
#GENMODEL Modello #A %d

'City Screen Text
#HAPPINESS Morale
#CONTROL Controllo
#FAITH Fede
#UNREST Malcontento
#HAPPINESSDEMAND Popolazione
#HAPPINESSPLUS Surplus
#STORAGE Riserve
#FOOD Cibo
#DEMAND Popolazione
#SURPLUS Avanzo
#LACK Carenza
#MATERIAL Materie prime
#PROD Produzione
#POLL Inquinamento
#SUPPORT Unità
#PROFIT Guadagno
#TRADE Commercio
#CORR Corruzione
#SCIENCE Ricerca
#TAX Tasse
#LUX Ricchezza
#DUMP Discarica
#SUPUNITS Unità supportate

'Class Screen Text
#UNITOWNER #A
#UNITSPEED Velocità
#UNITSTRENGTH Forza
#UNITTRANSPORT Trasporto
#UNITCOST Costo
#UNITBUILT Costruite
#UNITINTRO Introdotta nel
#UNITADOPT Adottata
#UNITLOST Perse in battaglia
#UNITDESTROYED Sconfitte
#UNITAVAILABLE Disponibili
#UNITINPROD In produzione
#UNITKNOWN Conosciute attive
#UNITSPECIAL Unità Speciale

'Diplomacy Screen Text
#FRSTATGOV Governo: %s
#FRSTATPOP Popolazione: %d
#FRSTATTER Territorio: %d
#FRSTATTECH Tecnologia: %d%%
#FRSTATEXP Esplorazione: %d%%
#FRLASTCONTACT Ultima visita:
#FRNOCONTACT Nessun contatto, solo leggende
#FRNOVISIT Nessuna visita finora
#FROLDCIVILREP (vecchio rapporto datato %s)
#FRNOCIVILREP (nessun rapporto disponibile)
#FREXTINCT Sconfitti nel 
#FRTREATY Relazione:
#FRAND ,
#FRCREDIBILITY (credibilità %d%%)
#FRTREASURY Tesoreria: %d%%c
#FRRELATIONS Relazioni estere:

'Other Dialog Text
#PRESENT Unità presenti
#SHOWSTRENGTH Forza: %d/%d
#RIVER Fiume
#INITUNIT Ricerca militare
#TECHFOCUS Obiettivo: %s
#NEXUS Ferma ricerca
#SCIENCEREPORT_EXTINCT %s (sconfitti)
#MODELDRAFT Modello nuova unità (%s)
#TAXRATE Tasse
#MONEYGAINPOS +%d%%c
#MONEYGAINNEG %d%%c
#TECHGAIN +%d%%r
#TECHWAIT %s (%d turni)
#COSTDIFF1 Livello difficoltà: -25%
#COSTDIFF2 Livello difficoltà: ±0
#COSTDIFF3 Livello difficoltà: +25%
#NATEXISTS (%s)
#CONSCRIPTS %s di leva
#WONDEROF %s a %s
#WONDEROWNER (#A)
#EXPIRED (obsoleta)
#DESTROYED (distrutta)
#NOWONDER Nessuna meraviglia costruita
#BUILDORDER Sequenza di costruzione
#BUILDREST Non in coda:
#ENHANCE %s: %s PM
#SHIPCOMP Componenti
#SHIPPOW Potenza
#SHIPHAB Alloggio
#SEARCH Cerca
#RANMAP Mappa casuale
#TWOTERRAINS %s / %s
#MPMAP Multigiocatore
#NOGAMES Nessuna partita
#AIT_ROUND Partita %d,

'Dialog Titles
#TITLE_TRIBE Scegli il tuo popolo
#TITLE_GOV Scegli il governo
#TITLE_TECHSELECT Cosa ricerchiamo ora?
