#GAME Книга %d
#MAP Карта %d
#BC %d до Н.Э.
#AD %d Н.Э.
#SHARE %d/%d
#SHORTNAME #S
#OWNED #A %s
#GENCITY #S %d
#GENMODEL #A Model %d
#TILESIZE %dx%d

'Текст окна города
#HAPPINESS Счастье
#CONTROL Контроль
#FAITH Вера
#UNREST Беспокойство
#HAPPINESSDEMAND Население
#HAPPINESSPLUS Избыток
#STORAGE Хранение
#FOOD Еда
#DEMAND Население
#SURPLUS Избыток
#LACK Недостаток
#MATERIAL Материал
#PROD Производство
#POLL Загрязнение
#SUPPORT Юнит
#PROFIT Польза
#TRADE Торговля
#CORR Коррупция
#SCIENCE Исследование
#TAX Налог
#LUX Богатство
#DUMP Отвал
#SUPUNITS Поддерживаемые юниты

'Текст окна классов
#UNITOWNER (#A)
#UNITSPEED Скорость
#UNITSTRENGTH Сила
#UNITTRANSPORT Транспорт
#UNITCOST Стоимость
#UNITBUILT Постройка
#UNITINTRO Введение
#UNITADOPT Принятие
#UNITLOST Потеря в борьбе
#UNITDESTROYED Разрушение
#UNITAVAILABLE Доступность
#UNITINPROD В производстве
#UNITKNOWN Знание активно
#UNITSPECIAL Специальный юнит

'Текст экрана дипломатии
#FRSTATGOV Правительство: %s
#FRSTATPOP Население: %d
#FRSTATTER Территория: %d
#FRSTATTECH Технология: %d%%
#FRSTATEXP Исследование: %d%%
#FRLASTCONTACT Последний визит:
#FRNOCONTACT Нет контакта, видел ранее
#FRNOVISIT Еще не встречал
#FROLDCIVILREP (Имел старое дело в %s)
#FRNOCIVILREP (Нет доступных дел)
#FROURATT Наше отношение: %s
#FREXTINCT Вымерший в
#FRTREATY Отношение:
#FRAND ,
#FRCREDIBILITY (%d%% репутация)
#FRTREASURY Казначейство: %d%%c
#FRRELATIONS Иностранные отношения:

'Текст других диалогов
#PRESENT Настоящий юнит
#SHOWSTRENGTH Сила: %d/%d
#RIVER Река
#INITUNIT Военное исследование
#TECHFOCUS Фокусирование: %s
#NEXUS Nexus
#SCIENCEREPORT_EXTINCT %s (павший)
#MODELDRAFT Новый проект юнита (%s)
#TAXRATE Налоговый показатель
#MONEYGAINPOS +%d%%c
#MONEYGAINNEG %d%%c
#TECHGAIN +%d%%r
#TECHWAIT %s (%d поворотов)
#COSTDIFF1 начальный уровень: -25%
#COSTDIFF2 Средний уровень: ±0
#COSTDIFF3 Сумасшедший уровень: +25%
#NATEXISTS (%s)
#CONSCRIPTS Призывной %s
#WONDEROF %s of %s
#WONDEROWNER (#A)
#EXPIRED (просроченный)
#DESTROYED (уничтоженный)
#NOWONDER Пока нет построенных чудес
#BUILDORDER Построение порядка для
#BUILDREST Не запланировано:
#ENHANCE %s: %s MP
#SHIPCOMP Компоненты
#SHIPPOW Мощность
#SHIPHAB Жилье
#SEARCH Поиск
#RANMAP Произвольная карта
#TWOTERRAINS %s / %s
#MPMAP Мультиплеер
#NOGAMES Нет книг
#AIT_ROUND Раунд %d,

'Заголовки диалогов
#TITLE_TRIBE Выберите нацию
