#GAME 进度 %d
#MAP 地图 %d
#BC 公元前 %d 年
#AD 公元 %d 年
#SHARE %d/%d
#SHORTNAME #S
#OWNED #A %s
#GENCITY #S %d
#GENMODEL #A 模块 %d
#TILESIZE %dx%d

'City Screen Text
#HAPPINESS 安定
#CONTROL 戒严
#FAITH 信仰
#UNREST 不安
#HAPPINESSDEMAND 人口
#HAPPINESSPLUS 剩余
#STORAGE 存粮
#FOOD 粮食
#DEMAND 需求
#SURPLUS 多余
#LACK 缺乏
#MATERIAL 原料
#PROD 生产
#POLL 污染
#SUPPORT 维持
#PROFIT 利润
#TRADE 贸易
#CORR 腐败
#SCIENCE 科研
#TAX 税收
#LUX 奢侈
#DUMP 废料
#SUPUNITS 隶属部队

'Class Screen Text
#UNITOWNER (#A)
#UNITSPEED 机动
#UNITSTRENGTH 战斗
#UNITTRANSPORT 运输
#UNITCOST 造价
#UNITBUILT 编制
#UNITINTRO 始创于
#UNITADOPT 引进于
#UNITLOST 牺牲
#UNITDESTROYED 阵亡
#UNITAVAILABLE 现役
#UNITINPROD 在建
#UNITKNOWN 在役总计
#UNITSPECIAL 特殊部队

'Diplomacy Screen Text
#FRSTATGOV 政体: %s
#FRSTATPOP 人口: %d百万
#FRSTATTER 领土: %d百万平方公里
#FRSTATTECH 科技: %d%%
#FRSTATEXP 探索: %d%%
#FRLASTCONTACT 上次接触:
#FRNOCONTACT 未曾接触，仅凭传闻
#FRNOVISIT 尚未拜访
#FROLDCIVILREP (从%s处获得)
#FRNOCIVILREP (尚无国家报告)
#FROURATT 我方态度: %s
#FREXTINCT 灭绝于
#FRTREATY 关系:
#FRAND ,
#FRCREDIBILITY (%d%% 信用度)
#FRTREASURY 国库: %d%%c
#FRRELATIONS 他国关系:

'Other Dialog Text
#PRESENT 当前部队
#SHOWSTRENGTH 战斗力: %d/%d
#RIVER 河流
#INITUNIT 部队研发
#TECHFOCUS 目标：%s
#NEXUS 连接
#SCIENCEREPORT_EXTINCT %s (灭绝)
#MODELDRAFT 新部队研发 (%s)
#TAXRATE 税收
#MONEYGAINPOS +%d%%c
#MONEYGAINNEG %d%%c
#TECHGAIN +%d%%r
#TECHWAIT %s (%d 回合)
#COSTDIFF1 入门难度: -25%
#COSTDIFF2 中间难度: ?
#COSTDIFF3 变态难度: +25%
#NATEXISTS (%s)
#CONSCRIPTS 征募 %s
#WONDEROF %s (%s)
#WONDEROWNER (#A)
#EXPIRED (已过期)
#DESTROYED (已被毁)
#NOWONDER 尚无奇迹建成
#BUILDORDER 先选定城市类型，再设定建设次序：
#BUILDREST 尚未设定次序的设施:
#ENHANCE %s: %s 行动点
#SHIPCOMP 飞船组件
#SHIPPOW 动力舱
#SHIPHAB 居住舱
#SEARCH 搜索
#RANMAP 随机地图
#TWOTERRAINS %s / %s
#MPMAP 多人模式
#NOGAMES 尚无进度
#AIT_ROUND 第%d回合,

'Dialog Titles
#TITLE_TRIBE 选择种族
#TITLE_GOV 选择政府
#TITLE_TECHSELECT 请指定科研项目(按住Shift单击看帮助)
#TITLE_FARTECH 请设定科研目标
#TITLE_CITIES #A城市
#TITLE_EVENTS 在%s发生事件
#TITLE_MODELS #A部队
#TITLE_DIAGRAMS 历史图表
#TITLE_SHIPS 殖民飞船
#TITLE_SHIP #A 殖民飞船
#TITLE_EMODELS 其他势力研发部队
#TITLE_EDEFENSE 城市防御
#TITLE_RATES 经济
#TITLE_DRAFT 部队研发
#TITLE_WONDERS 世界奇迹
#TITLE_ENHANCE 地形改造
#TITLE_CITYTYPES 城市类型
#TITLE_PROJECT 请指定要建设的单位
#TITLE_CITYNAME 城市名称
#TITLE_MODELNAME 新型部队名称
#TITLE_ERROR 错误
#TITLE_SCIENCE 科技报告
#TITLE_OFFERDELIVER 添加提议
#TITLE_OFFERCOST 添加需求
#TITLE_NUMBER 数字
#TITLE_AMOUNT 数量
#TITLE_CHOOSETECH 选择科技
#TITLE_CHOOSEMODEL 选择设计单位
#TITLE_CHOOSESHIPPART 选择类别
#TITLE_CHOOSECITY 选择城市
#TITLE_BOOKNAME 游戏名称
#TITLE_MAPNAME 地图名称
