#GAME 進度 %d
#MAP 地圖 %d
#BC 公元前 %d 年
#AD 公元 %d 年
#SHARE %d/%d
#SHORTNAME #S
#OWNED #A %s
#GENCITY #S %d
#GENMODEL #A 模塊 %d
#TILESIZE %dx%d

'City Screen Text
#HAPPINESS 安定
#CONTROL 戒嚴
#FAITH 信仰
#UNREST 不安
#HAPPINESSDEMAND 人口
#HAPPINESSPLUS 剩余
#STORAGE 存糧
#FOOD 糧食
#DEMAND 需求
#SURPLUS 多余
#LACK 缺乏
#MATERIAL 原料
#PROD 生產
#POLL 污染
#SUPPORT 維持
#PROFIT 利潤
#TRADE 貿易
#CORR 腐敗
#SCIENCE 科研
#TAX 稅收
#LUX 奢侈
#DUMP 廢料
#SUPUNITS び屬部隊

'Class Screen Text
#UNITOWNER (#A)
#UNITSPEED 机動
#UNITSTRENGTH 戰斗
#UNITTRANSPORT 運輸
#UNITCOST 造价
#UNITBUILT 編制
#UNITINTRO 始創于
#UNITADOPT 引進于
#UNITLOST 犧牲
#UNITDESTROYED 陣亡
#UNITAVAILABLE 現役
#UNITINPROD 在建
#UNITKNOWN 在役總計
#UNITSPECIAL 特殊部隊

'Diplomacy Screen Text
#FRSTATGOV 政体: %s
#FRSTATPOP 人口: %d百万
#FRSTATTER 領土: %d百万平方公里
#FRSTATTECH 科技: %d%%
#FRSTATEXP 探索: %d%%
#FRLASTCONTACT 上次接触:
#FRNOCONTACT 未曾接触，僅憑傳聞
#FRNOVISIT 尚未拜訪
#FROLDCIVILREP (從%s處獲得)
#FRNOCIVILREP (尚無國家報告)
#FROURATT 我方態度: %s
#FREXTINCT 滅絕于
#FRTREATY 關系:
#FRAND ,
#FRCREDIBILITY (%d%% 信用度)
#FRTREASURY 國庫: %d%%c
#FRRELATIONS 他國關系:

'Other Dialog Text
#PRESENT 當前部隊
#SHOWSTRENGTH 戰斗力: %d/%d
#RIVER 河流
#INITUNIT 部隊研發
#TECHFOCUS 目標：%s
#NEXUS 連接
#SCIENCEREPORT_EXTINCT %s (滅絕)
#MODELDRAFT 新部隊研發 (%s)
#TAXRATE 稅收
#MONEYGAINPOS +%d%%c
#MONEYGAINNEG %d%%c
#TECHGAIN +%d%%r
#TECHWAIT %s (%d 回合)
#COSTDIFF1 入門難度: -25%
#COSTDIFF2 中間難度: ?
#COSTDIFF3 變態難度: +25%
#NATEXISTS (%s)
#CONSCRIPTS 征募 %s
#WONDEROF %s (%s)
#WONDEROWNER (#A)
#EXPIRED (已過期)
#DESTROYED (已被毀)
#NOWONDER 尚無奇跡建成
#BUILDORDER 先選定城市類型，再設定建設次序：
#BUILDREST 尚未設定次序的設施:
#ENHANCE %s: %s 行動點
#SHIPCOMP 飛船組件
#SHIPPOW 動力艙
#SHIPHAB 居住艙
#SEARCH 搜索
#RANMAP 隨机地圖
#TWOTERRAINS %s / %s
#MPMAP 多人模式
#NOGAMES 尚無進度
#AIT_ROUND 第%d回合,

'Dialog Titles
#TITLE_TRIBE 選擇种族
#TITLE_GOV 選擇政府
#TITLE_TECHSELECT 請指定科研項目(按住Shift單擊看幫助)
#TITLE_FARTECH 請設定科研目標
#TITLE_CITIES #A城市
#TITLE_EVENTS 在%s發生事件
#TITLE_MODELS #A部隊
#TITLE_DIAGRAMS 歷史圖表
#TITLE_SHIPS 殖民飛船
#TITLE_SHIP #A 殖民飛船
#TITLE_EMODELS 其他勢力研發部隊
#TITLE_EDEFENSE 城市防御
#TITLE_RATES 經濟
#TITLE_DRAFT 部隊研發
#TITLE_WONDERS 世界奇跡
#TITLE_ENHANCE 地形改造
#TITLE_CITYTYPES 城市類型
#TITLE_PROJECT 請指定要建設的單位
#TITLE_CITYNAME 城市名稱
#TITLE_MODELNAME 新型部隊名稱
#TITLE_ERROR 錯誤
#TITLE_SCIENCE 科技報告
#TITLE_OFFERDELIVER 添加提議
#TITLE_OFFERCOST 添加需求
#TITLE_NUMBER 數字
#TITLE_AMOUNT 數量
#TITLE_CHOOSETECH 選擇科技
#TITLE_CHOOSEMODEL 選擇設計單位
#TITLE_CHOOSESHIPPART 選擇類別
